商家名稱,優惠名稱,圖片網址,下載網址,檔名
津鹿堂鮮萃茶舖,外送滿$300、到店點餐享9折,https://drive.google.com/file/d/1U2FeN2VhiAhrgmU-GEvUBP6NZ7vIupFT/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1U2FeN2VhiAhrgmU-GEvUBP6NZ7vIupFT,a660f4dfba9c994f966e3ff777f4c491.jpg
吃光Cacti,9折優惠,https://drive.google.com/file/d/1gJvc97zHpJ-HV_02mBPsWCv60iyd6gaa/view?usp=sharing,https://drive.google.com/uc?export=download&id=1gJvc97zHpJ-HV_02mBPsWCv60iyd6gaa,6816d684e4cea2ac73cde3c2dccf10fb.jpg
不二號BU ER HAO （逢甲總店）,9折優惠和外送福利,https://drive.google.com/file/d/1i6dyghM6ttPX8HxsaITAJnR6oM5_ItPR/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1i6dyghM6ttPX8HxsaITAJnR6oM5_ItPR,a8f86e48e75766194719ca6f385a7238.jpg
佧瑪髮創 KAMA,折價優惠,https://drive.google.com/file/d/1rOjmdsxNekhXYlfe92g91UVbhqw681Mf/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1rOjmdsxNekhXYlfe92g91UVbhqw681Mf,4655138d97f6ec522fad4aa8ebdfa8e5.jpg
佧瑪髮創 KAMA,折價優惠,https://drive.google.com/file/d/1rOjmdsxNekhXYlfe92g91UVbhqw681Mf/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1rOjmdsxNekhXYlfe92g91UVbhqw681Mf,4655138d97f6ec522fad4aa8ebdfa8e5.jpg
小牛甕烤餅,優惠套餐,https://drive.google.com/file/d/15aYjIiB64_Vgqe3BzFwt2_ATfI1c5BEj/view?usp=drive_link,https://drive.google.com/uc?export=download&id=15aYjIiB64_Vgqe3BzFwt2_ATfI1c5BEj,4ba22c6301a76b377554f0710e6f3505.jpg
漫步藍咖啡（林森店）,全品項85折,https://drive.google.com/file/d/18rf3VAESHfj0F1AfQKzaISEKeDNoJc-U/view?usp=drive_link,https://drive.google.com/uc?export=download&id=18rf3VAESHfj0F1AfQKzaISEKeDNoJc-U,bf70b5455bd34ff37cb0778c5df1b6f7.jpg
Come n See,9折優惠,https://drive.google.com/file/d/1XucrSCLAdmIMYuqOWDpQR8MRo6bC2q4j/view?usp=sharing,https://drive.google.com/uc?export=download&id=1XucrSCLAdmIMYuqOWDpQR8MRo6bC2q4j,99494354a480687c66e90fed30a049c1.jpg
山川咖喱(民生店),滑蛋1份,https://drive.google.com/file/d/1kMMYuFuWXl_ktBAaeFYzb8zlt4HQuZ9z/view?usp=sharing,https://drive.google.com/uc?export=download&id=1kMMYuFuWXl_ktBAaeFYzb8zlt4HQuZ9z,bc7ddb8ed54e79e27d552ecb9b9d61e2.jpg
RAD Studio,9折優惠,https://drive.google.com/file/d/1fWulb6AFmDNZokarkt5-7vIIRIaslwR5/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1fWulb6AFmDNZokarkt5-7vIIRIaslwR5,d74fdec18c8f52a96f0166cd0c7a0445.jpg
